,partidaId,mandanteId,visitanteId,placarMandante,placarVisitante,publico,vencedor,rodada
308,3945823785,4060423562,3584964355,2,2,"9,880",0,31
309,3477480775,2883380601,67067627,2,2,"37,961",0,31
310,1558720982,1898730127,1110161204,3,1,"11,418",1,32
311,1935526875,852822218,1596141233,0,1,"17,697",-1,32
312,1766099884,3657292249,2228842524,1,2,"11,776",-1,32
313,255531907,3598766679,4060423562,4,0,"19,121",1,32
314,2856157046,3209350440,2883380601,3,2,"46,090",1,32
315,4257496234,3584964355,1670992046,3,1,"18,199",1,32
316,699340813,360415214,2976050151,2,0,"20,539",1,32
317,334224991,67067627,546424345,1,0,"8,157",1,32
318,118980390,3131217581,3974523768,1,1,"10,654",0,32
319,2977391450,2213895614,871981024,1,1,"15,811",0,32
320,1985588603,2976050151,3584964355,0,1,"6,226",-1,33
321,1189833815,4060423562,360415214,1,2,"4,412",-1,33
322,1005712951,3974523768,3657292249,1,2,"24,119",-1,33
323,754241828,871981024,2883380601,3,1,"14,803",1,33
324,1048847987,546424345,3209350440,0,1,"18,062",-1,33
325,526128283,1670992046,67067627,2,0,"7,111",1,33
326,4290842682,1898730127,2213895614,1,2,"7,841",-1,33
327,516131567,1110161204,852822218,3,2,"8,204",1,33
328,2156402326,1596141233,3131217581,2,2,"35,037",0,33
329,3961655121,2228842524,3598766679,2,2,"10,908",0,33
330,2820743298,3657292249,546424345,0,1,"8,399",-1,34
331,1085358274,3209350440,4060423562,1,0,"42,732",1,34
332,1866579155,3584964355,871981024,1,1,"14,021",0,34
333,1744176825,2883380601,1670992046,2,0,"27,831",1,34
334,2122787247,852822218,3974523768,2,0,"1,107",1,34
335,2561276248,2213895614,1596141233,1,1,"17,447",0,34
336,2955256901,360415214,1110161204,2,2,"29,769",0,34
337,890385878,3598766679,2976050151,1,1,"19,719",0,34
338,1166443531,67067627,2228842524,3,1,"8,644",1,34
339,174211425,3131217581,1898730127,2,0,"11,301",1,34
340,550335292,2976050151,546424345,2,1,"5,997",1,35
341,4013094870,3584964355,1596141233,1,0,"20,542",1,35
342,1825900371,67067627,4060423562,2,2,"9,259",0,35
343,1717612964,3209350440,2228842524,3,1,"45,775",1,35
344,311337726,2213895614,1110161204,1,1,"12,059",0,35
345,1400746218,3657292249,852822218,1,2,"10,076",-1,35
346,800457563,360415214,1898730127,3,1,"22,896",1,35
347,2150345049,3131217581,871981024,2,1,"7,546",1,35
348,4273229264,2883380601,3974523768,5,1,"18,744",1,35
349,2742292156,3598766679,1670992046,1,0,"14,821",1,35
350,1803498670,3974523768,360415214,1,0,"5,556",1,36
351,1744262673,871981024,67067627,1,1,"13,095",0,36
352,1283540657,852822218,3131217581,1,1,"2,280",0,36
353,1704134574,1670992046,3209350440,3,0,"13,491",1,36
354,959320304,1596141233,3657292249,0,0,"25,711",0,36
355,3002078556,546424345,2213895614,3,1,"9,252",1,36
356,744495083,1898730127,3584964355,1,0,"4,206",1,36
357,4229538986,1110161204,3598766679,3,0,"8,184",1,36
358,1623409338,2228842524,2976050151,2,0,"19,686",1,36
359,2672860367,4060423562,2883380601,2,1,"11,082",1,36
360,44537319,2228842524,3974523768,1,2,"12,819",-1,37
361,3820538042,3584964355,852822218,1,1,"6,783",0,37
362,295896568,67067627,2213895614,0,1,"14,930",-1,37
363,3158652946,2976050151,871981024,2,3,"12,862",-1,37
364,2788915298,4060423562,546424345,1,0,"13,394",1,37
365,3864294559,3209350440,1110161204,2,2,"46,030",0,37
366,2422557823,3598766679,1596141233,1,2,"32,739",-1,37
367,3757167355,360415214,3131217581,0,1,"35,437",-1,37
368,1491381996,1670992046,1898730127,1,2,"15,456",-1,37
369,3007124375,2883380601,3657292249,2,0,"23,562",1,37
370,403468040,871981024,1670992046,1,2,"29,008",-1,38
371,3880392087,3974523768,3209350440,1,0,"29,977",1,38
372,3797661565,1110161204,3584964355,4,3,"19,116",1,38
373,1038921391,2213895614,2976050151,2,1,"22,076",1,38
374,874333795,852822218,2228842524,1,1,"2,996",0,38
375,1362229141,546424345,2883380601,3,0,"12,879",1,38
376,2823767222,3131217581,3598766679,2,1,"12,913",1,38
377,2994058276,1898730127,4060423562,1,1,"7,639",0,38
378,3598064572,1596141233,360415214,1,1,"60,485",0,38
379,700725887,3657292249,67067627,2,2,"20,636",0,38
